CVE	IMPACT	KPANIC
CVE-2026-64582	IMPORTANT	YES
CVE-2026-64600	IMPORTANT	YES
CVE-2026-53176	MODERATE_KPANIC
CVE-2026-53016	MODERATE_KPANIC
CVE-2025-38087	MODERATE_KPANIC
CVE-2025-38106	MODERATE_KPANIC
CVE-2026-52960	LOW	NO
CVE-2025-71305	LOW	NO
CVE-2026-46113	MODERATE	NO
CVE-2026-46086	MODERATE	NO
CVE-2025-71315	LOW	NO
CVE-2026-46279	LOW	NO
CVE-2026-46319	MODERATE_KPANIC
CVE-2026-46227	IMPORTANT	YES
CVE-2026-23401	IMPORTANT	YES
CVE-2026-53094	MODERATE	NO
CVE-2026-46333	IMPORTANT	YES
CVE-2026-52943	IMPORTANT	YES
CVE-2026-31669	MODERATE_KPANIC
CVE-2026-43500	IMPORTANT	YES
CVE-2026-46082	LOW	NO
CVE-2026-64457	LOW	NO
CVE-2026-31540	LOW	NO
CVE-2026-23051	LOW	NO
CVE-2026-43131	LOW	NO
CVE-2026-53185	MODERATE_KPANIC
CVE-2026-53246	MODERATE_KPANIC
CVE-2026-46242	MODERATE_KPANIC
CVE-2026-53281	MODERATE	NO
CVE-2026-53093	LOW	NO
CVE-2026-53267	MODERATE_KPANIC
CVE-2026-53266	IMPORTANT	YES
CVE-2026-53194	MODERATE	NO
CVE-2026-53196	MODERATE_KPANIC
CVE-2026-53207	LOW	NO
CVE-2026-53151	MODERATE	NO
CVE-2026-53106	LOW	NO
CVE-2026-53125	LOW	NO
CVE-2026-64376	LOW	NO
CVE-2025-71130	MODERATE_KPANIC
CVE-2026-53071	MODERATE_KPANIC
CVE-2026-53009	MODERATE_KPANIC
CVE-2026-68245	MODERATE	NO
CVE-2026-68236	IMPORTANT	YES
CVE-2026-68103	MODERATE	NO
CVE-2026-53356	MODERATE_KPANIC
CVE-2026-72262	IMPORTANT	YES
CVE-2026-74345	IMPORTANT	YES
CVE-2026-72054	MODERATE_KPANIC
CVE-2026-72061	MODERATE_KPANIC
CVE-2026-72212	MODERATE_KPANIC
CVE-2026-64531	IMPORTANT	YES
CVE-2026-68264	IMPORTANT	YES
CVE-2026-31678	IMPORTANT	YES
CVE-2026-80530	IMPORTANT	YES
CVE-2026-52924	IMPORTANT	YES
CVE-2026-80863	IMPORTANT	YES
CVE-2026-74641	IMPORTANT	YES
CVE-2024-57798	MODERATE	NO
CVE-2023-53382	MODERATE	NO
CVE-2023-53526	MODERATE	NO
CVE-2025-40181	MODERATE	NO
CVE-2025-40261	MODERATE	NO
CVE-2025-40255	MODERATE	NO
CVE-2025-68313	MODERATE	NO
CVE-2025-68294	MODERATE	NO
CVE-2026-23032	LOW	NO
CVE-2025-71182	LOW	NO
